"filename", "language", "XML", "C#", "JSON", "ApexLog", "TypeScript JSX", "comment", "blank", "total"
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/SlowZoneController.cs", "C#", 0, -17, 0, 0, 0, -10, -1, -28
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/SoundController.cs", "C#", 0, 9, 0, 0, 0, 4, 2, 15
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/SquirrelController.cs", "C#", 0, 0, 0, 0, 0, -3, 1, -2
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/StructureController.cs", "C#", 0, 8, 0, 0, 0, 11, 2, 21
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/SynergyController.cs", "C#", 0, 51, 0, 0, 0, 38, 15, 104
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/TileGrid.cs", "C#", 0, -561, 0, 0, 0, -395, -131, -1087
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/TreeController.cs", "C#", 0, 4, 0, 0, 0, -2, 1, 3
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/DataStructures/Direction.cs", "C#", 0, 7, 0, 0, 0, 4, 2, 13
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/DataStructures/ModelType.cs", "C#", 0, 21, 0, 0, 0, 3, 2, 26
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/DataStructures/ShopModel.cs", "C#", 0, 18, 0, 0, 0, 20, 6, 44
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Factories/CollectableFactory.cs", "C#", 0, 27, 0, 0, 0, 19, 7, 53
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Factories/DefenderFactory.cs", "C#", 0, -2, 0, 0, 0, -4, -2, -8
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Factories/EnemyFactory.cs", "C#", 0, 0, 0, 0, 0, -1, -1, -2
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Factories/StructureFactory.cs", "C#", 0, 32, 0, 0, 0, 24, 11, 67
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Interfaces/IAnimatable.cs", "C#", 0, -15, 0, 0, 0, -40, -11, -66
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Interfaces/IAttackable.cs", "C#", 0, -20, 0, 0, 0, -54, -15, -89
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Interfaces/ISlottable.cs", "C#", 0, -9, 0, 0, 0, -18, -4, -31
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Interfaces/ISurface.cs", "C#", 0, 1, 0, 0, 0, 4, 1, 6
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Interfaces/ITargetable.cs", "C#", 0, -28, 0, 0, 0, -91, -23, -142
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Interfaces/IUsable.cs", "C#", 0, -6, 0, 0, 0, -5, -2, -13
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Loading/LayerData.cs", "C#", 0, 17, 0, 0, 0, 16, 3, 36
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Loading/ObjectData.cs", "C#", 0, 25, 0, 0, 0, 18, 4, 47
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Loading/TiledData.cs", "C#", 0, 9, 0, 0, 0, 4, 1, 14
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Managers/EnemyManager.cs", "C#", 0, 76, 0, 0, 0, 45, 19, 140
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Managers/ShopManager.cs", "C#", 0, 28, 0, 0, 0, 26, 12, 66
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Managers/SkillTreeManager.cs", "C#", 0, 31, 0, 0, 0, 18, 9, 58
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Managers/TileGrid.cs", "C#", 0, 663, 0, 0, 0, 436, 152, 1251
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/BasicTree.cs", "C#", 0, -1, 0, 0, 0, -3, -2, -6
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/BombSplat.cs", "C#", 0, -1, 0, 0, 0, -3, -1, -5
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/Butterfly.cs", "C#", 0, -1, 0, 0, 0, -3, -1, -5
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/Collectable.cs", "C#", 0, 25, 0, 0, 0, 40, 11, 76
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/Currency.cs", "C#", 0, -30, 0, 0, 0, -27, -9, -66
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/DefenderScriptable.cs", "C#", 0, -89, 0, 0, 0, -66, -20, -175
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/Dew.cs", "C#", 0, 11, 0, 0, 0, 18, 6, 35
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/Direction.cs", "C#", 0, -7, 0, 0, 0, -4, -2, -13
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/Effect.cs", "C#", 0, 3, 0, 0, 0, 15, 4, 22
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/Enemy.cs", "C#", 0, -6, 0, 0, 0, 4, 1, -1
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/EnemyScriptable.cs", "C#", 0, -234, 0, 0, 0, -177, -50, -461
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/Flooring.cs", "C#", 0, 17, 0, 0, 0, 13, 6, 36
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/GameState.cs", "C#", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/HazardScriptable.cs", "C#", 0, -18, 0, 0, 0, -18, -5, -41
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/Mob.cs", "C#", 0, -13, 0, 0, 0, -36, -10, -59
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/Model.cs", "C#", 0, 61, 0, 0, 0, 66, 19, 146
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/Nexus.cs", "C#", 0, 34, 0, 0, 0, 95, 30, 159
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/NexusHole.cs", "C#", 0, 45, 0, 0, 0, 93, 29, 167
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/PlaceableObject.cs", "C#", 0, 34, 0, 0, 0, 37, 17, 88
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/Projectile.cs", "C#", 0, 8, 0, 0, 0, 12, 2, 22
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/ProjectileScriptable.cs", "C#", 0, -21, 0, 0, 0, -25, -11, -57
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/SeedToken.cs", "C#", 0, 1, 0, 0, 0, 15, 1, 17
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/ShopBoat.cs", "C#", 0, 27, 0, 0, 0, 29, 23, 79
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/SkillSlot.cs", "C#", 0, 26, 0, 0, 0, 33, 9, 68
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/SlowEffect.cs", "C#", 0, -1, 0, 0, 0, -4, 0, -5
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/Squirrel.cs", "C#", 0, -1, 0, 0, 0, -3, -1, -5
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/Structure.cs", "C#", 0, 12, 0, 0, 0, 10, 3, 25
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/Synergy.cs", "C#", 0, 31, 0, 0, 0, 35, 11, 77
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/SynergySlot.cs", "C#", 0, 39, 0, 0, 0, 39, 18, 96
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/Tile.cs", "C#", 0, 12, 0, 0, 0, 24, 6, 42
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/Tree.cs", "C#", 0, 18, 0, 0, 0, 32, 11, 61
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Models/TripleThreat.cs", "C#", 0, 46, 0, 0, 0, 40, 15, 101
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Scriptables/CollectableScriptable.cs", "C#", 0, 18, 0, 0, 0, 18, 6, 42
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Scriptables/DefenderScriptable.cs", "C#", 0, 89, 0, 0, 0, 66, 21, 176
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Scriptables/EnemyScriptable.cs", "C#", 0, 234, 0, 0, 0, 177, 50, 461
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Scriptables/HazardScriptable.cs", "C#", 0, 18, 0, 0, 0, 18, 5, 41
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Scriptables/ProjectileScriptable.cs", "C#", 0, 21, 0, 0, 0, 25, 11, 57
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Scriptables/ShopScriptable.cs", "C#", 0, 12, 0, 0, 0, 17, 4, 33
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Scriptables/SkillSlotScriptable.cs", "C#", 0, 23, 0, 0, 0, 33, 10, 66
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Scriptables/StructureScriptable.cs", "C#", 0, 19, 0, 0, 0, 18, 6, 43
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/View/CameraController.cs", "C#", 0, 8, 0, 0, 0, 5, 1, 14
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/View/CanvasController.cs", "C#", 0, 20, 0, 0, 0, 4, 4, 28
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/View/SceneController.cs", "C#", 0, 9, 0, 0, 0, 6, 2, 17
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Logs/AssetImportWorker0-prev.log", "ApexLog", 0, 0, 0, -2822, 0, 0, -55, -2877
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Logs/AssetImportWorker0.log", "ApexLog", 0, 0, 0, 685, 0, 0, 13, 698
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Logs/AssetImportWorker1-prev.log", "ApexLog", 0, 0, 0, -3092, 0, 0, -55, -3147
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Logs/AssetImportWorker1.log", "ApexLog", 0, 0, 0, 697, 0, 0, 13, 710
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Logs/AssetImportWorker2-prev.log", "ApexLog", 0, 0, 0, -2774, 0, 0, -50, -2824
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Logs/AssetImportWorker3-prev.log", "ApexLog", 0, 0, 0, -2756, 0, 0, -50, -2806
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Tiled/Tilemaps/level0.tmx", "XML", 36, 0, 0, 0, 0, 0, 0, 36
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Tiled/Tilesets/Markers.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 1, 10
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Tiled/Tilesets/Placeables.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 1, 15
"Total", "-", 57, 1334, 275, -10062, 23, 1187, 264, -6922
